cycle,year,V_total,U_circ,D_total,ratio_D_V,kappa,eta_global,V_ON,gini,top10_share,top20_share,median_wealth,mean_wealth,eta_mean,eta_std,population,entreprises,age_median,age_mean,deaths,births,RU_total,U_burn,V_burned,V_salaries,staking_volume,r_ic,nu_eff,tau_eng,D_materiel,D_services,D_contractuel,D_engagement,D_regulateur
0,0,5000.0,0.0,4994.79167,0.9989583339999999,1.15,1.15,5000.0,0.6000000000000001,0.4,0.8,2.5,10.0,0.8349220973438422,0.0919661439159885,500,150,43.0,43.678,0,0,4174.61048671921,5.422628918655192,0.0,0.0,0,0.0,0.0,0,4994.79167,0.0,0.0,0.0,0.0
1,0,5000.0,0.0,4989.588765340278,0.9969775375504258,1.2999999999999998,1.2997272379518436,5004.715329494483,0.6000000000000001,0.4,0.8,2.5,10.0,0.8349220973438422,0.0919661439159885,500,150,43.0,43.678,0,0,4174.61048671921,5.422628918655192,0.0,0.0,0,0.0,0.002169051567462077,0,4989.588765340278,0.0,0.0,0.0,0.0
2,0,5000.0,0.0,4984.391280369441,0.9951096313051028,1.4499999999999997,1.4497272379518436,5008.886582508833,0.6000000000000001,0.4,0.8,2.5,10.0,0.8349220973438422,0.0919661439159885,500,150,43.0,43.678,0,0,4174.61048671921,5.422628918655192,0.0,0.0,0,0.0,0.0021670079361748324,0,4984.391280369441,0.0,0.0,0.0,0.0
3,0,5000.0,0.0,4979.199209441984,0.9933314165128652,1.5999999999999996,1.5997272379518435,5012.626326590664,0.6000000000000001,0.4,0.8,2.5,10.0,0.8349220973438422,0.0919661439159885,500,150,43.0,43.678,0,0,4174.61048671921,5.422628918655192,0.0,0.0,0,0.0,0.002165203315879085,0,4979.199209441984,0.0,0.0,0.0,0.0
4,0,5000.0,0.0,4974.012546918281,0.9916262373988753,1.7499999999999996,1.7497272379518434,5016.015469664823,0.6000000000000001,0.4,0.8,2.5,10.0,0.8349220973438422,0.0919661439159885,500,150,43.0,43.678,0,0,4174.61048671921,5.422628918655192,0.0,0.0,0,0.0,0.0021635879338898945,0,4974.012546918281,0.0,0.0,0.0,0.0
5,0,5000.0,0.0,4968.831287164583,0.9899817325434516,1.8999999999999995,1.8997272379518433,5019.114114761198,0.6000000000000001,0.4,0.8,2.5,10.0,0.8349220973438422,0.0919661439159885,500,150,43.0,43.678,0,0,4174.61048671921,5.422628918655192,0.0,0.0,0,0.0,0.00216212607455038,0,4968.831287164583,0.0,0.0,0.0,0.0
6,0,5000.0,0.0,4963.655424553008,0.9883884756097109,2.0,2.0,5021.968129981543,0.6000000000000001,0.4,0.8,2.5,10.0,0.8349220973438422,0.0919661439159885,500,150,43.0,43.678,0,0,4174.61048671921,5.422628918655192,0.0,0.0,0,0.0,0.002160791245095328,0,4963.655424553008,0.0,0.0,0.0,0.0
7,0,5000.0,0.0,4958.484953461535,0.986826126579563,2.0,2.0,5024.679444440871,0.6000000000000001,0.4,0.8,2.5,10.0,0.8349220973438422,0.0919661439159885,500,150,43.0,43.678,0,0,4174.61048671921,5.422628918655192,0.0,0.0,0,0.0,0.002159563254207717,0,4958.484953461535,0.0,0.0,0.0,0.0
8,0,5000.0,0.0,4953.319868274002,0.9852665340375492,2.0,2.0,5027.390758900198,0.6000000000000001,0.4,0.8,2.5,10.0,0.8349220973438422,0.0919661439159885,500,150,43.0,43.678,0,0,4174.61048671921,5.422628918655192,0.0,0.0,0,0.0,0.002158397954979834,0,4953.319868274002,0.0,0.0,0.0,0.0
9,0,5000.0,0.0,4948.1601633800965,0.9837096924109332,2.0,2.0,5030.102073359526,0.6000000000000001,0.4,0.8,2.5,10.0,0.8349220973438422,0.0919661439159885,500,150,43.0,43.678,0,0,4174.61048671921,5.422628918655192,0.0,0.0,0,0.0,0.0021572339126634575,0,4948.1601633800965,0.0,0.0,0.0,0.0
