cycle,year,V_total,U_circ,D_total,ratio_D_V,kappa,eta_global,V_ON,gini,top10_share,top20_share,median_wealth,mean_wealth,eta_mean,eta_std,population,entreprises,age_median,age_mean,deaths,births,RU_total,U_burn,V_burned,V_salaries,staking_volume,r_ic,nu_eff,tau_eng,D_materiel,D_services,D_contractuel,D_engagement,D_regulateur
0,0,5001.886131797798,0.0,4994.79167,0.9989583339999999,1.15,1.15,5000.0,0.5999924884844592,0.39990195813049173,0.7997511244850948,2.5,10.003772263595586,0.8349220973438422,0.0919661439159885,500,150,43.0,43.678,0,0,4174.61048671921,5.422628918655192,2.8291976966896653,1.8861317977931102,0,0.0,0.0,0,4994.79167,0.0,0.0,0.0,0.0
1,0,5001.054633003536,0.0,4992.086161175278,0.9980407449581429,1.2999999999999998,1.2995578865683528,5001.886131797798,0.6007724486353132,0.4000551914714051,0.7999708386233825,2.5,10.002109266007066,0.8349277040313623,0.09197600502972648,500,151,43.0,43.586,1,1,4174.61048671921,5.422628918655192,2.5027518086100886,1.6685012057400592,0,0.0,0.002169051567462077,0,4989.588765340278,0.0,0.0,0.0,2.497395835
2,0,5002.5505306362675,0.0,4986.886074752111,0.9971668859288355,1.4499999999999997,1.4492285879395972,5001.054633003536,0.6007210480736067,0.3999893890296352,0.7997854506089725,2.5,10.005101061272532,0.8349277040313623,0.09197600502972648,500,151,43.0,43.586,0,0,4174.638520156809,5.422628918655192,2.2438464490987005,1.4958976327324671,0,0.0,0.0021682336525746418,0,4984.391280369441,0.0,0.0,0.0,2.494794382670139
3,0,5003.906187865935,0.0,4981.691405082169,0.9958303018777412,1.5999999999999996,1.599228587939597,5002.5505306362675,0.6006477390794751,0.39994062634157895,0.7996283752545862,2.5,10.007812375731858,0.8349277040313623,0.09197600502972648,500,151,43.0,43.586,0,0,4174.638520156809,5.422628918655192,2.033485844495697,1.3556572296637983,0,0.0,0.0021685941532690145,0,4979.199209441984,0.0,0.0,0.0,2.4921956401847205
4,0,5005.145645904486,0.0,4976.502146523002,0.9945234702022621,1.7499999999999996,1.749228587939597,5003.906187865935,0.6005783808741068,0.39989606642832887,0.7994848379631833,2.5247891607709954,10.010291291808958,0.8349277040313623,0.09197600502972648,500,151,43.0,43.586,0,0,4174.638520156809,5.422628918655192,1.8591870578246374,1.2394580385497584,0,0.0,0.0021679456850845625,0,4974.012546918281,0.0,0.0,0.0,2.489599604720992
5,0,5006.287251992625,0.0,4971.318293438042,0.9932414848918286,1.8999999999999995,1.899228587939597,5005.145645904486,0.6005201306379406,0.39985504392316107,0.7993526954420487,2.5247891607709954,10.012574503985233,0.8349277040313623,0.09197600502972648,500,151,43.0,43.586,0,0,4174.638520156809,5.422628918655192,1.7124091322069033,1.1416060881379355,0,0.0,0.0021673583456878654,0,4968.831287164583,0.0,0.0,0.0,2.4870062734591407
6,0,5007.371777776353,0.0,4966.13984019659,0.9919806016364612,2.0,2.0,5006.287251992625,0.600461579203633,0.39981175815214925,0.7992402110062896,2.5247891607709954,10.014743555552695,0.8349277040313623,0.09197600502972648,500,151,43.0,43.586,0,0,4174.638520156809,5.422628918655192,1.6267886755965577,1.0845257837310385,0,0.0,0.0021668216280948055,0,4963.655424553008,0.0,0.0,0.0,2.4844156435822917
7,0,5008.456303560086,0.0,4960.966781173812,0.9907326640277649,2.0,2.0,5007.371777776353,0.6003637454540618,0.3997381756766327,0.7990931290557766,2.5259511526821354,10.016912607120156,0.8349277040313623,0.09197600502972648,500,151,43.0,43.586,0,0,4174.638520156809,5.422628918655192,1.6267886755965577,1.0845257837310385,0,0.0,0.002166327518061155,0,4958.484953461535,0.0,0.0,0.0,2.481827712276504
8,0,5009.540829343815,0.0,4955.799110750733,0.9894863427735362,2.0,2.0,5008.456303560086,0.6002687445444475,0.399673056856946,0.7989504406304907,2.527113144593276,10.019081658687622,0.8349277040313623,0.09197600502972648,500,151,43.0,43.586,0,0,4174.638520156809,5.422628918655192,1.6267886755965577,1.0845257837310385,0,0.0,0.0021658583222127934,0,4953.319868274002,0.0,0.0,0.0,2.479242476730768
9,0,5010.625355127546,0.0,4950.636823314234,0.9882416357035069,2.0,2.0,5009.540829343815,0.6001796190362552,0.3996209529382903,0.798829458493186,2.527113144593276,10.021250710255082,0.8349277040313623,0.09197600502972648,500,151,43.0,43.586,0,0,4174.638520156809,5.422628918655192,1.6267886755965577,1.0845257837310385,0,0.0,0.002165389329562766,0,4948.1601633800965,0.0,0.0,0.0,2.4766599341370017
10,0,5011.709880911276,0.0,4945.479913257039,0.9869985406504517,2.0,2.0,5010.625355127546,0.6000774425469877,0.3995474595220893,0.7986955448151367,2.529917952654649,10.023419761822545,0.8349277040313623,0.09197600502972648,500,151,43.0,43.586,0,0,4174.638520156809,5.422628918655192,1.6267886755965577,1.0845257837310385,0,0.0,0.0021649205399791047,0,4943.005833175349,0.0,0.0,0.0,2.474080081690049
11,0,5012.794406695009,0.0,4940.328374977716,0.9857570554501888,2.0,2.0,5011.709880911276,0.5999914592710738,0.39949355088037547,0.7985789972050548,2.529917952654649,10.025588813390007,0.8349277040313623,0.09197600502972648,500,151,43.0,43.586,0,0,4174.638520156809,5.422628918655192,1.6267886755965577,1.0845257837310385,0,0.0,0.002164451953329949,0,4937.856872061128,0.0,0.0,0.0,2.471502916587675
12,1,5013.878932478737,0.0,4935.182202880666,0.984517177941572,2.0,2.0,5012.794406695009,0.5998688795891325,0.39943896622893366,0.7984538478249353,2.5333700241148014,10.027757864957469,0.8349277040313623,0.09197600502972648,500,151,44.0,44.586,0,0,4174.638520156809,5.422628918655192,1.6267886755965577,1.0845257837310385,0,0.0,0.002163983569483555,0,4932.713274444636,0.0,0.0,0.0,2.468928436030565
13,1,5014.963458262467,0.0,4930.04139137612,0.983278905966489,2.0,2.0,5013.878932478737,0.5997416276539718,0.3993785353272182,0.7983157770961158,2.5433810313492415,10.029926916524932,0.8349277040313623,0.09197600502972648,500,151,44.0,44.586,0,0,4174.638520156809,5.422628918655192,1.6267886755965577,1.0845257837310385,0,0.0,0.0021635153883082917,0,4927.5750347388985,0.0,0.0,0.0,2.4663566372223187
14,1,5016.047984046199,0.0,4924.905934880131,0.9820422373698535,2.0,2.0,5014.963458262467,0.599630926934281,0.39930515788482207,0.798160469175698,2.5433810313492415,10.032095968092392,0.8349277040313623,0.09197600502972648,500,151,44.0,44.586,0,0,4174.638520156809,5.422628918655192,1.6267886755965577,1.0845257837310385,0,0.0,0.0021630474096726465,0,4922.442147362762,0.0,0.0,0.0,2.46378751736945
15,1,5017.1325098299285,0.0,4919.775827814568,0.9808071699996034,2.0,2.0,5016.047984046199,0.5995347372270994,0.3992484402016766,0.7980354914250158,2.5433810313492415,10.034265019659856,0.8349277040313623,0.09197600502972648,500,151,44.0,44.586,0,0,4174.638520156809,5.422628918655192,1.6267886755965577,1.0845257837310385,0,0.0,0.0021625796334452134,0,4917.314606740887,0.0,0.0,0.0,2.4612210736813815
