cycle,year,V_total,U_circ,D_total,ratio_D_V,kappa,eta_global,V_ON,gini,top10_share,top20_share,median_wealth,mean_wealth,eta_mean,eta_std,population,entreprises,age_median,age_mean,deaths,births,RU_total,U_burn,V_burned,V_salaries,staking_volume,r_ic,nu_eff,tau_eng,D_materiel,D_services,D_contractuel,D_engagement,D_regulateur
10,0,25455.57508935832,0.0,23264.9552399136,0.8252173513183666,2.0,2.0,28192.51825321599,0.5804185487210485,0.3818517960719425,0.7533814140627391,1.973285856566628,6.270880120021826,0.8334093828683603,0.09143882206147527,4069,1219,43.0,42.659375768001965,0,0,67822.8555778273,404.0960683376183,327.1612896114945,218.10752640766304,0,0.0,0.01451438174359473,0.0,23261.78698780312,0.0,0.0,0.0,3.168252110480202
11,0,25674.158915292548,0.0,23240.72106663839,0.8027917931293995,2.0,2.0,28949.873759972892,0.5774680938232375,0.3795875005970007,0.7483940776463625,1.9811518049802899,6.328169170371431,0.8334093828683603,0.09143882206147527,4069,1219,43.0,42.659375768001965,0,0,67822.8555778273,374.09606833761836,327.87573890154397,218.58382593436264,0,0.0,0.019941312261501615,0.0,23237.556114769402,0.0,0.0,0.0,3.1649518689867993
12,1,25892.283802031394,0.0,23216.51213713211,0.7830001668733904,2.0,2.0,29650.711608195834,0.5741352971607745,0.3774369911446464,0.7435781332899065,2.084077215055632,6.382927045373892,0.8334093828683603,0.09143882206147527,4069,1219,44.0,43.659375768001965,0,0,67822.8555778273,304.09606833761836,327.1873301084346,218.12488673895635,0,0.0,0.018024886863623992,0.0,23213.35048206689,0.0,0.0,0.0,3.1616550652229503
13,1,26112.784472067044,0.0,23192.328425099346,0.7671623410086318,2.0,2.0,30231.317656452058,0.5703955298756398,0.3752829029434411,0.7386984275896264,2.174609775907645,6.438802380203983,0.8334093828683603,0.09143882206147527,4069,1219,44.0,43.659375768001965,0,0,67822.8555778273,344.09606833761836,330.75100505354317,220.5006700356955,0,0.0,0.014388151209747513,0.0,23189.170063403737,0.0,0.0,0.0,3.15836169560771
14,1,26342.407905289627,0.0,23168.169904272054,0.7502417272436415,2.0,2.0,30880.940186293017,0.5668294017922906,0.3733761931778838,0.7340700432983279,2.3142045621077805,6.497038067342354,0.8334093828683603,0.09143882206147527,4069,1219,44.0,43.659375768001965,0,0,67822.8555778273,314.09606833761836,344.435149833902,229.6234332226014,0,0.0,0.015875451116408992,0.0,23165.01483251549,0.0,0.0,0.0,3.155071756563863
15,1,26571.327336073817,0.0,23144.03654840957,0.7356140596485679,2.0,2.0,31462.199838141212,0.5631793181611724,0.3713408432312816,0.7292162782294394,2.386392101354517,6.554635437254403,0.8334093828683603,0.09143882206147527,4069,1219,44.0,43.659375768001965,0,0,67822.8555778273,314.0960683376184,343.37914617627666,228.91943078418444,0,0.0,0.014247796709889998,0.0,23140.884763165053,0.0,0.0,0.0,3.1517852445179204
16,1,26777.7321212961,0.0,23143.079635698108,0.72220228550555,2.0,2.0,32045.148707190376,0.5596716868137575,0.3697097493911332,0.7244524868684536,2.4653908359847585,6.607672203591056,0.8333707251576721,0.09147050366950316,4069,1219,44.0,43.65470631604817,1,1,67822.8555778273,364.0960683376184,344.370345834353,229.5802305562353,0,0.0,0.014026503569895269,0.0,23116.779829142655,0.0,0.0,0.0,26.299806555454143
17,1,27003.58524629703,0.0,23118.972415364788,0.7072024190485761,2.0,2.0,32690.74283776849,0.5561468993319696,0.3674481302954221,0.7197690081151927,2.504966473218122,6.6654360519653135,0.8333707251576721,0.09147050366950316,4069,1219,44.0,43.65470631604817,0,0,67819.70961333149,384.0960683376183,338.7796875012776,225.85312500085178,0,0.0,0.015846381722816064,0.0,23092.70000426583,0.0,0.0,0.0,26.272411098957587
18,1,27232.867319231307,0.0,23094.8903065586,0.6914526901538995,2.0,2.0,33400.53576394109,0.55241566260976,0.36549029496824514,0.7154135110805396,2.522152250999599,6.724597279746102,0.8333707251576721,0.09147050366950316,4069,1219,44.0,43.65470631604817,0,0,67819.70961333149,404.0960683376183,343.92310940146416,229.28207293430938,0,0.0,0.016322052053489893,0.0,23068.645262379385,0.0,0.0,0.0,26.245044179212247
19,1,27455.853456234483,0.0,23073.82714527118,0.6758593689115987,2.0,2.0,34139.98267484134,0.5491767386953279,0.36363010898309284,0.7114274944268956,2.5356977520071213,6.780941512458667,0.8334152397910889,0.09143530882377136,4069,1218,44.0,43.653477512902434,1,1,67819.70961333149,344.0960683376184,338.974681486363,225.98312099090862,0,0.0,0.01679073659762289,0.0,23044.615577355373,0.0,0.0,0.0,29.21156791580962
