cycle,year,V_total,U_circ,D_total,ratio_D_V,kappa,eta_global,V_ON,gini,top10_share,top20_share,median_wealth,mean_wealth,eta_mean,eta_std,population,entreprises,age_median,age_mean,deaths,births,RU_total,U_burn,V_burned,V_salaries,staking_volume,r_ic,nu_eff,tau_eng,D_materiel,D_services,D_contractuel,D_engagement,D_regulateur
10,0,9994.137965712884,0.0,9893.467536311087,0.9851205628253591,2.0,2.0,10042.90023947555,0.6011920754233817,0.4002574036239339,0.800492022529826,2.5,9.9941379657129,0.8324247562414312,0.08873636988556606,1000,300,43.0,43.191,0,0,8324.247562414315,8.39002658762029,2.087496745749154,1.3916644971661027,0,0.0,0.0016710579479127811,0,9886.011666350698,0.0,0.0,0.0,7.45586996038943
11,0,9995.758702866344,0.0,9883.161847556408,0.9838879259829191,2.0,2.0,10045.007756023613,0.6011689125579653,0.4002168262666727,0.8003865501369557,2.5,9.995758702866352,0.8324247562414312,0.08873636988556606,1000,300,43.0,43.191,0,0,8324.247562414315,8.39002658762029,2.4311057301787002,1.6207371534524668,0,0.0,0.001670837385129383,0,9875.713744122257,0.0,0.0,0.0,7.448103434151271
12,1,9997.425254551046,0.0,9872.866893887312,0.9826904825228361,2.0,2.0,10046.771663587251,0.6011436317264216,0.4001884514470214,0.8002914677890656,2.5,9.997425254551064,0.8324247562414312,0.08873636988556606,1000,300,44.0,44.191,0,0,8324.247562414315,8.39002658762029,2.499827527064608,1.666551684709739,0,0.0,0.001670486831150351,0,9865.426548889272,0.0,0.0,0.0,7.440344998039432
13,1,9999.10096914201,0.0,9862.582664121424,0.9815012391423159,2.0,2.0,10048.46684935399,0.6010930589262045,0.4001448473684312,0.8001808118360677,2.502463012157343,9.999100969142026,0.8324247562414312,0.08873636988556606,1000,300,44.0,44.191,0,0,8324.247562414315,8.39002658762029,2.513571886441789,1.675714590961193,0,0.0,0.0016701935444653252,0,9855.150069477797,0.0,0.0,0.0,7.432594643626705
14,1,10000.778516314229,0.0,9852.309147088017,0.9803148035283014,2.0,2.0,10050.14829076136,0.6010497044748617,0.40012133923933707,0.80009020101093,2.513916644971661,10.000778516314236,0.8324247562414312,0.08873636988556606,1000,300,44.0,44.191,0,0,8324.247562414315,8.39002658762029,2.5163207583172267,1.6775471722114845,0,0.0,0.0016699117812504264,0,9844.884294725523,0.0,0.0,0.0,7.424852362494657
15,1,10002.456430002694,0.0,9842.046331628007,0.9791300972432726,2.0,2.0,10051.826983296862,0.6009913620032863,0.40008559886914347,0.7999878582807597,2.5162073715345246,10.002456430002697,0.8324247562414312,0.08873636988556606,1000,300,44.0,44.191,0,0,8324.247562414315,8.39002658762029,2.5168705326923133,1.6779136884615422,0,0.0,0.0016696323964359523,0,9834.629213481774,0.0,0.0,0.0,7.417118146233626
16,1,9999.134416994386,0.0,9836.788998263926,0.9784437243452194,2.0,2.0,10053.505126057982,0.6017251990473884,0.40024339886657306,0.8002804884093642,2.516757145909612,9.999134416994409,0.8327026508740442,0.08847839338049135,1000,300,44.0,44.149,2,2,8324.247562414315,8.39002658762029,2.516980487567332,1.6779869917115549,0,0.0,0.0016693535616086534,0,9824.384814607483,0.0,0.0,0.0,12.404183656442711
17,1,10000.812418646748,0.0,9826.542349615262,0.9777475887042224,2.0,2.0,10050.183158864205,0.6016707781921611,0.40019622878002387,0.8001831251574977,2.5167754717221147,10.00081241864677,0.8327026508740442,0.08847839338049135,1000,300,44.0,44.149,0,0,8327.026508740446,8.39002658762029,2.517002478542335,1.6780016523615566,0,0.0,0.0016690749111718118,0,9814.151086975191,0.0,0.0,0.0,12.391262640070039
18,1,10002.490423231238,0.0,9816.306374552107,0.9765660516842496,2.0,2.0,10051.861169679474,0.6016026146573819,0.4001492750021822,0.8000807616422038,2.5167798699171153,10.002490423231261,0.8327026508740442,0.08847839338049135,1000,300,44.0,44.149,0,0,8327.026508740446,8.39002658762029,2.517006876737336,1.6780045844915574,0,0.0,0.0016696266038137492,0,9803.928019469025,0.0,0.0,0.0,12.378355083080807
19,1,10004.16842840216,0.0,9806.08106195615,0.9753859700742248,2.0,2.0,10053.539176096545,0.601543951279299,0.400105812932376,0.7999901735721197,2.5167800458449157,10.00416842840218,0.8327026508740442,0.08847839338049135,1000,300,44.0,44.149,0,0,8327.026508740446,8.39002658762029,2.5170077563763344,1.6780051709175563,0,0.0,0.0016693478841367296,0,9793.715600984697,0.0,0.0,0.0,12.365460971454835
20,1,10005.846433690353,0.0,9795.866400720668,0.9742073416984942,2.0,2.0,10055.217181633983,0.6014688388125422,0.40005548746421066,0.7998878767056044,2.5167800528820274,10.005846433690381,0.8327026508740442,0.08847839338049135,1000,300,44.0,44.149,0,0,8327.026508740446,8.39002658762029,2.517007932304136,1.6780052882027576,0,0.0,0.001669069258230684,0,9783.513820429482,0.0,0.0,0.0,12.352580291186545
21,1,10007.524439002007,0.0,9785.662379750494,0.9730301646580035,2.0,2.0,10056.89518699548,0.6013869740344917,0.4000102035729043,0.7997805839118157,2.519240316460708,10.007524439002042,0.8327026508740442,0.08847839338049135,1000,300,44.0,44.149,0,0,8327.026508740446,8.39002658762029,2.5170079674896955,1.678005311659797,0,0.0,0.001668790725464351,0,9773.32266672221,0.0,0.0,0.0,12.339713028284946
22,1,10009.20244431836,0.0,9775.46898796203,0.9718544371108347,2.0,2.0,10058.573192321794,0.6013223072088081,0.3999684901553667,0.7996783564798795,2.5306965881920265,10.009202444318392,0.8327026508740442,0.08847839338049135,1000,300,44.0,44.149,0,0,8327.026508740446,8.39002658762029,2.517007974526807,1.6780053163512048,0,0.0,0.0016685122856742887,0,9763.142128793255,0.0,0.0,0.0,12.326859168773625
23,1,10010.880449635642,0.0,9765.286214283215,0.9706801572283774,2.0,2.0,10060.251197641079,0.6012433884040533,0.3999212190219581,0.7995694585920088,2.53298741737944,10.010880449635682,0.8327026508740442,0.08847839338049135,1000,300,44.0,44.149,0,0,8327.026508740446,8.39002658762029,2.517007975934231,1.6780053172894875,0,0.0,0.0016682339387906057,0,9752.972195584523,0.0,0.0,0.0,12.314018698690726
24,2,10012.558454953123,0.0,9755.114047653526,0.9695073231865717,2.0,2.0,10061.929202958949,0.6011815103763387,0.39988761152864755,0.7994840598135656,2.5334890938267978,10.01255845495316,0.8327026508740442,0.08847839338049135,1000,300,45.0,45.149,0,0,8327.026508740446,8.39002658762029,2.5170079762157154,1.6780053174771437,0,0.0,0.0016679556847621418,0,9742.812856049437,0.0,0.0,0.0,12.301191604088935
25,2,10014.236460270642,0.0,9744.952477023962,0.9683359331641527,2.0,2.0,10063.607208276546,0.6011027383410734,0.39984594491838005,0.7993852846956744,2.533555524604142,10.014236460270673,0.8327026508740442,0.08847839338049135,1000,300,45.0,45.149,0,0,8327.026508740446,8.39002658762029,2.5170079762720103,1.6780053175146739,0,0.0,0.0016676775235415103,0,9732.664099152928,0.0,0.0,0.0,12.28837787103547
26,2,10015.914465588165,0.0,9734.801491357031,0.9671659853423022,2.0,2.0,10065.285213594088,0.6010226014922659,0.39980032425086603,0.7992831919959363,2.5335591900528187,10.015914465588198,0.8327026508740442,0.08847839338049135,1000,300,45.0,45.149,0,0,8327.026508740446,8.39002658762029,2.5170079762832684,1.6780053175221792,0,0.0,0.0016673994550820976,0,9722.52591387142,0.0,0.0,0.0,12.275577485612061
27,2,10017.592470905693,0.0,9724.661079626736,0.9659974779045742,2.0,2.0,10066.963218911616,0.6009456583165851,0.3997531130555484,0.7991878337323491,2.5335600988442284,10.01759247090572,0.8327026508740442,0.08847839338049135,1000,300,45.0,45.149,0,0,8327.026508740446,8.39002658762029,2.5170079762855235,1.6780053175236824,0,0.0,0.0016671214793374742,0,9712.39828919282,0.0,0.0,0.0,12.262790433914933
28,2,10019.27047622322,0.0,9714.531230818566,0.9648304090368768,2.0,2.0,10068.641224229144,0.6008596574344305,0.39970609298259857,0.7990841335198415,2.5335601060572657,10.019270476223245,0.8327026508740442,0.08847839338049135,1000,300,45.0,45.149,0,0,8327.026508740446,8.39002658762029,2.517007976285974,1.6780053175239826,0,0.0,0.0016668435962612711,0,9702.28121411651,0.0,0.0,0.0,12.250016702054799
29,2,10020.948481540745,0.0,9704.411933929485,0.9636647769274679,2.0,2.0,10070.319229546672,0.6007890204956157,0.39966063130339136,0.7989821425339821,2.533560106350012,10.020948481540769,0.8327026508740442,0.08847839338049135,1000,300,45.0,45.149,0,0,8327.026508740446,8.39002658762029,2.517007976286062,1.6780053175240415,0,0.0,0.0016665658058071548,0,9692.174677653327,0.0,0.0,0.0,12.237256276156836
